Filename;Filetype;DTX_VERSION;Width;Height;Mipmaps Used;DTX Flags;DTX_PREFER4444;DTX_NOSYSCACHE;DTX_SECTIONSFIXED;DTX_MIPSALLOCED;DTX_PREFER16BIT;DTX_FULLBRITE;DTX_LUMBUMPMAP;DTX_BUMPMAP;DTX_CUBEMAP;DTX_32BITSYSCOPY;DTX_PREFER5551;Unknown;Surface Flag;Texture Group;BPP;Non S3TC Offset;UI Mipmap Offset;Texture Priority;Detail Scale;Detail Angle;Command String;Light String
attachments\skins\baron_action_hat.dtx;0;DTX_VERSION_LT2;32;32;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\baron_formal_hat.dtx;0;DTX_VERSION_LT2;32;32;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\broom.dtx;0;DTX_VERSION_LT2;32;32;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\cigarette.dtx;0;DTX_VERSION_LT2;16;16;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\cosmonaut_action_helmet.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\coverall_attachments.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\disguise.dtx;0;DTX_VERSION_LT2;32;32;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\featherduster.dtx;0;DTX_VERSION_LT2;32;32;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\femaleglasses.dtx;0;DTX_VERSION_LT2;32;32;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\frogman_action_gear.dtx;0;DTX_VERSION_LT2;32;32;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\german_action_attachments.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\german_casual_hair.dtx;0;DTX_VERSION_LT2;32;32;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\headset.dtx;0;DTX_VERSION_LT2;32;32;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\heli_a1.dtx;0;DTX_VERSION_LT2;16;16;1;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;20;0;BPP_32;0;0;0;0.0;0;;
attachments\skins\heli_a2.dtx;0;DTX_VERSION_LT2;16;16;1;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;20;0;BPP_32;0;0;0;0.0;0;;
attachments\skins\hero_scuba_gear.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\lily.dtx;0;DTX_VERSION_LT2;32;32;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\malebystander_action_brithat.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\malebystander_action_scothat.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\moroccanagent_action_fez.dtx;0;DTX_VERSION_LT2;32;32;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\nerd_glasses.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\overcoatagent_action_hat.dtx;0;DTX_VERSION_LT2;16;16;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\parachute.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\paratrooper_goggles.dtx;0;DTX_VERSION_LT2;32;32;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\stasiguard_action_hat.dtx;0;DTX_VERSION_LT2;32;32;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
attachments\skins\trainconducterhat.dtx;0;DTX_VERSION_LT2;32;32;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\baroness_action.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\baroness_action_head.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\baroness_winter.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\baroness_winter_head.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\baron_action.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\baron_action_head.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32;0;0;0;0.0;0;;
chars\skins\baron_formal.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\baron_formal_head.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32;0;0;0;0.0;0;;
chars\skins\butler_action.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
